City,County,State,Population Count,Status,Submission Method,Contact Value,Notes,Method,Date Submitted,Status,Notes,
Vestavia Hills,Jefferson,Alabama,"39,351",,Portal,https://accounts.viewpointcloud.com/login?state=hKFo2SAyNmRmMG0tQ29OZDFkM1QzYjJoWXRKOWNyOFBwWllyRaFupWxvZ2luo3RpZNkgMks4MksydmZvRGRaTTNPVnlaem1VeGRMcS0zY1V1UXmjY2lk2SBLbmUzWFlQdkNoY2lGT0c5RHZRMDFVa20xd3lCVGRUUQ&client=Kne3XYPvChciFOG9DvQ01Ukm1wyBTdTQ&protocol=oauth2&prompt=login&redirect_uri=https%3A%2F%2Fvestaviahillsal.portal.opengov.com&audience=viewpointcloud.com%2Fapi%2Fproduction&initialScreen=login&allow_sign_up=true&community_name=City%20of%20Vestavia%20Hills%2C%20AL&app_name=storefront&connection=Username-Password-Authentication&scope=openid%20profile%20email&response_type=code&response_mode=query&nonce=eXNlbl9PYlpNbH5zMkVMU0FaWUVhWk9YOUJSWjE0NWJFYTREbWxIZnBRbQ%3D%3D&code_challenge=PlaECsnfjLoT781In2s_OhHZGPd_sNyVY92G5P6zPPg&code_challenge_method=S256&auth0Client=eyJuYW1lIjoiYXV0aDAtc3BhLWpzIiwidmVyc2lvbiI6IjEuMjIuNiJ9,Official public records request page,Manual,1/27/2026,Sent,PRES-26-7,
Trussville,Jefferson;St. Clair,Alabama,"25,388",,Email,dweinrib@trussville.org,City clerk email,Manual,1/27/2026,Sent,Email,
Gadsden,Etowah,Alabama,"49,348",,Email,inelson@cityofgadsden.com,City clerk email,Manual,1/27/2026,Sent,Email,
Florence,Lauderdale,Alabama,"25,388",,Email,info@florenceal.org,General city email for public records via City Clerk,Manual,1/27/2026,Sent,Email,
Auburn,Lee,Alabama,"76,243",,PDF Form,https://static.auburnalabama.org/media/apps/www/public-records-request/Public-Records-Request-Form-Fillable-Update-2025.pdf,Official Auburn public records portal,PDF Form,1/27/2026,Sent,PDF + Email,
Opelika,Lee,Alabama,"30,499",Sent,Portal,https://ss.opelika-al.gov/EnerGovProd/SelfService#/search,NextRequest portal,Scraped,1/27/2026,Fulfilled,Data available on the link,
Athens,Limestone,Alabama,"27,029",,Portal,https://athensal.nextrequest.com/requests/new,NextRequest portal,Manual,1/27/2026,Fulfilled,PDF + Email,
Huntsville,Madison;Limestone,Alabama,"215,006",,Email,Shaundrika.Edwards@HuntsvilleAL.gov,City Clerk Email,Manual,1/27/2026,Sent,Email,
Madison,Madison;Limestone,Alabama,"57,377",,Portal,https://madisonal.justfoia.com/publicportal/home/newrequest,Online submission portal,Manual,1/27/2026,Sent,Redirected to Hunstville,
Decatur,Morgan;Limestone,Alabama,"57,938",,Portal,https://cityofdecatural.justfoia.com/publicportal/home/track,City clerk email,Manual,1/27/2026,Sent,PRR-2026-36 and your security key is B149D76A.,
Phenix City,Russell;Lee,Alabama,"38,708",,Email,https://phenixcityal.gov/wp-content/uploads/2025/03/Public-Record-Request-Form-030525.pdf,City clerk email,PDF Form,1/27/2026,Denied,Citizen Restriction,
Northport,Tuscaloosa,Alabama,"42,530",,PDF Form,https://www.northportal.gov/DocumentCenter/View/1469/Request-for-Access-to-Public-Records-PDF,legal@NorthportAL.gov,PDF Form,1/27/2026,Sent,PDF + Email,
Jefferson,Jefferson,Alabama,"25,148",,Portal,https://jeffersoncounty.nextrequest.com/requests/new,County NextRequest portal,Manual,1/27/2026,Sent,Request 26-57,
Lee,Lee,Alabama,"33,244",,Email,buildinginspection@leeco.us,Building Dep Email,Manual,1/27/2026,Sent,Email,
Lawrence,Lawrence,Alabama,"57,227",,PDF Form,https://lawrencecountyal.org/wp-content/uploads/2025/11/Public-Records-Request-Form.pdf,Submit by mail or in person,PDF Form,1/27/2026,Sent,PDF + Email,
Limestone,Limestone,Alabama,"164,542",,Email,archives@limestonecounty-al.gov,County archives contact,Manual,1/27/2026,Sent,Email,
Madison County,Madison,Alabama,"101,489",,Email,probate@madisoncountyal.gov,Probate office records,Manual,1/27/2026,Denied,Citizen Restriction,
Marion,Marion,Alabama,"101,489",Sent,Portal,https://www.cityofmarional.org/formsapplications,City Contact Us Page,Manual,1/27/2026,Sent,Custom Portal,
Marshall,Marshall,Alabama,"36,567",,Email,commission@marshallco.org,Commisioner Email,Manual,1/27/2026,Sent,Email,
Mobile City,Mobile,Alabama,"93,419",,Portal,https://mobileal.justfoia.com/publicportal,JustFOIA portal,Manual,1/27/2026,Sent,PRR-2026-65 and your security key is 70ECEE94.,
Mobile County,Mobile,Alabama,"208,016",,PDF Form,https://www.mobilecountyal.gov/uploads/Combined%20instructions%20and%20form%2010.03.24.pdf,Email to RecordsRequest@mobilecountyal.gov,PDF Form,1/27/2026,Denied,Citizen Restriction,
Montgomery,Montgomery,Alabama,"228,000",,PDF Form,https://montgomeryal.docuware.cloud/docuware/formsweb/public-records-request?orgID=42a590f1-1a53-4312-ad1d-f71699cc292c,County commission form,Manual,1/27/2026,Sent,Custom Portal,
Pike,Pike,Alabama,"208,016",Sent,Email,https://pikeprobate.com/contact-us/,County public records,Manual,1/27/2026,Sent,Custom Portal,
Russell,Russell,Alabama,"81,169",,Email,info@russellcountyal.org,County Administrator Email,Manual,1/27/2026,Sent,bfriend@russellcountyal.org,
Shelby,Shelby,Alabama,41263,,Portal,https://www.shelbyal.com/FormCenter/Discover-Shelby-County-8/Request-for-Information-105,County FOIA portal,Manual,1/27/2026,Sent,FormCenter,
St. Clair,St. Clair,Alabama,41646,,PDF Form,https://www.stclairco.com/DocumentCenter/View/240,County commission form,PDF Form,1/27/2026,Sent,PDF + Email,
,Talladega,Alabama,83416,,Email,chad.joiner@talladegacountyal.org,County Probate Office handles public records including property and land records; no formal public records portal,Manual,1/27/2026,Sent,Email,
Tallapoosa County,Tallapoosa,Alabama,43464,,Email,tflurry@tallaco.com,Building Inspector Email,Manual,1/27/2026,Sent,Email,
Walker County,Walker,Alabama,64411,,Email,a.frederickson@walkercountyal.us,County Administrator Email,Manual,1/27/2026,Denied,No Records,
Anchorage,Anchorage Municipality,Alaska,291247,,Public Records Portal,https://anchorageak.justfoia.com/publicportal,"Kept (population Ã¢â€°Â¥ 25,000 per U.S. Census QuickFacts for Anchorage Municipality).",Manual,1/27/2026,Fee Qoute,$480.00 ,
Fairbanks,Fairbanks North Star Borough,Alaska,95665,,Portal,https://cityoffairbanksak.nextrequest.com/requests/new,"Kept (city population Ã¢â€°Â¥ 25,000).",Manual,1/27/2026,Fulfilled,Request 26-191,
Juneau,Juneau City and Borough,Alaska,32113,,Email,Breckan.Hendricks@juneau.gov,"Kept (city population Ã¢â€°Â¥ 25,000).",Manual,1/27/2026,Sent,Email,
Kenai Peninsula Borough,Borough,Alaska,58824,,Portal,https://kpb.govqa.us/WEBAPP/_rs/(S(qkapr2rexaimfsdvs2g2gkgt))/supporthome.aspx,Borough-level jurisdiction (not removed by city population filter).,Manual,1/27/2026,Denied,No Records,
Ketchikan Gateway Borough,Borough,Alaska,136235,,Email,records@kgbak.us,Borough-level jurisdiction (not removed by city population filter).,Manual,1/27/2026,Sent,tysonh@kgbak.us - eddieb@kgbak.us,
North Slope Borough,North Slope Borough,Alaska,100078,,Email,sheila.burke@north-slope.org,Borough Clerk,Manual,1/27/2026,Denied,No Records,
Wrangell City and Borough,Wrangell City and Borough,Alaska,110904,Sent,Portal,https://www.wrangell.com/contactus,Borough Page,Manual,1/27/2026,Sent,CustomPortal,
Yakutat City and Borough,Yakutat City and Borough,Alaska,248750,,Portal,https://www.yakutatak.us/email-contact/node/356/field_email/sidebar_standard,Contact Us Page,Manual,1/27/2026,Sent,CustomPortal,
,Apache County,Arizona,463218,,Portal,https://www.apachecountyaz.gov/Public-Contact-Form,Official county site contact form (select/request county records),Manual,1/27/2026,Sent,CustomPortal,
Sierra Vista,Cochise County,Arizona,57508,,Portal,https://url4102.request.justfoia.com/ls/click?upn=u001.nrfdmL-2B1UhWpB4V2ArB2sdjiGqJq1-2Fv0kR7n0DyahZc-2FRhy8k-2B62WrMIGB-2B9QybHaZIC2cPWeXNm5o6s0qvQdghRwL9HJnNEtKFbRXU75vAfpxP16NMi2bZnXT-2Bm6iGAjBn0xPwGFDmmP2Q-2Bl6GZWZtBKWt8TfchYyrZFX6ZfdjRu-2FG8KDhDlF9AsMHmc1gnDMmTlpW8YmEJ80pZ6rM8wAJkoWwZQtQpbHSFz33zlOw-3DxEk0_yVemZw-2BNMDhMo3R4PecJCt7o6s-2B9-2FY3kNY9cjLI-2BFIIEwwQtqjAFkmIF3ZEvTNEaI9Z4FDb1kMrug7ZEdCsnVVnUKK8obiByiMB3dveIBhYMQWajqTlIniZxcVX4cXBXAlXyWgbvqAs86MNHKJP9QdpSqNX2KOL3mREd9t7EvHwd-2B8GJAQhZmxw7PExJ9y8WZowusMZ9YhiyvtoIiamAaBxTjxgrBoIQdHhcChII4846z0l2ycJHEIV5UqP9YkMwylDsegqx4r7o86vsca9hZY6cKBq887I-2FydVruhJnoTk-3D,Official Sierra Vista JustFOIA portal (New Request),Scraped,1/27/2026,Sent,Data available on the link,
Cochise County,Cochise County,Arizona,26253,,Portal,https://cochise-az.nextrequest.com/,NextRequest portal,Manual,1/27/2026,Sent,Request 26-83,
Flagstaff,Coconino County,Arizona,34049,,Public_Records_Page,https://www.flagstaff.az.gov/1600/Public-Records,City public records page,Manual,1/27/2026,Fulfilled,CustomPortal,
Coconino County,Coconino County,Arizona,107275,,Public_Records_Page,https://www.coconino.az.gov/1942/Records-Requests,County records instructions,Manual,1/27/2026,Fee Qoute,$220 ,
La Paz County,La Paz County,Arizona,163487,,Public_Records_Page,smcguire@lapazcountyaz.org,County clerk page,Manual,1/27/2026,Sent,Email,
Bullhead City,Mohave,Arizona,448541,,portal,https://bullheadcityaz.nextrequest.com/,Direct NextRequest portal,PDF Form,1/27/2026,Sent,PDF + Form,
Phoenix,Maricopa County,Arizona,104605,,Portal,https://cityofphoenixaz.govqa.us/WEBAPP/_rs/supporthome.aspx,Official Phoenix GovQA Public Records Request Center,Manual,1/27/2026,Sent,R030929-012726,
Apache Junction,Maricopa County,Arizona,91548,,Public_Records_Page,https://www.apachejunctionaz.gov/972/Public-Record-Request,City records page,PDF Form,1/27/2026,Sent,PDF + Form,
Mesa,Maricopa County,Arizona,45602,,Portal,https://u8387778.ct.sendgrid.net/ls/click?upn=u001.VEsWrlMiJDg0mXafq1mEXa0Ifrl7hRVgG0vTrEvb5zLjJXn9XPBe1yG3putUePSLB8NvyTGa-2BUxbDp7uZCCJjw-3D-3D62FZ_yVemZw-2BNMDhMo3R4PecJCt7o6s-2B9-2FY3kNY9cjLI-2BFIK3IkbNFzD5Xe8u48SWVl97P2x9jmqmT2Xbg7erJf8wzq4cROP8pPuUByN1yDrsnB8kp2RWg-2F5rb2eKSiPHi8GuQpg58z5WAn-2BzfrnxkFB4U6zEASOjpweJvVqVq6g5OKhZL7SL3UlNMw-2FYfuxCBpASkpGuspqFbX7K7mByRDaM2rX-2BmYfaKCJbUQtn0xlEzOiAuqJX-2BNUmt6JaKL9AKd2JDT0W-2BKkbOEEb1HOcxs4PV1W497RJd8t11ZZ9tMwuIo8d1Hq27HOcNnKnutrPVJfFIBWwiQ-2BemW2g8VsZdWiq5laSQnVAaThTl-2F-2FaV3MZM4w-3D,City public records portal (Verified official public-records page),Scraped,1/27/2026,Fulfilled,R006653-012726,
Scottsdale,Maricopa County,Arizona,145101,,Portal,https://eservices.scottsdaleaz.gov/maps/my-neighborhood,City public records portal (Verified official public-records page),Scraped,1/27/2026,Fulfilled,Custom Portal,
Glendale,Maricopa County,Arizona,43334,,Portal,https://www.glendaleaz.gov/Your-Government/City-Clerk/Public-Records-Request,City public records portal (Verified official public-records page),Manual,1/27/2026,Fulfilled,CustomPortal,
Chandler,Maricopa,Arizona,331759,,online_form,https://www.chandleraz.gov/government/departments/city-clerks-office/public-records-request,City records form,Manual,1/27/2026,Fulfilled,CustomPortal,
Buckeye,Maricopa,Arizona,248801,,public_records_page,https://buckeyeaz.mycusthelp.com/WEBAPP/_rs/(S(spwbgesnmrto3mnsfcwhudyp))/supporthome.aspx,City clerk records page,Manual,1/27/2026,Fulfilled,R006378-012726,
El Mirage,Maricopa,Arizona,110427,,online_form,https://elmirageaz-city-clerk-forms.app.transform.civicplus.com/forms/55255,City records form,Manual,1/27/2026,Sent,CustomPortal,
Goodyear,Maricopa,Arizona,124700,,public_records_page,https://www.goodyearaz.gov/government/departments/city-clerk-s-office/public-records-request,City Clerk public records request page (links to submission),Manual,1/27/2026,Fulfilled,CustomPortal,
Peoria,Maricopa,Arizona,106717,,public_records_page,PublicRecordsRequests@peoriaaz.gov,City Clerk public records page (request instructions),Manual,1/27/2026,Sent,Email,
Queen Creek,Maricopa,Arizona,50655,,portal,https://queencreekaz.govqa.us/WEBAPP/_rs/supporthome.aspx,GovQA portal (General Records),Manual,1/27/2026,Fulfilled,R000073-012726,
Maricopa County,Maricopa,Arizona,54332,,public_records_page,https://publicrecordsrequest.maricopa.gov/nonCommercial?d=7,County public records request hub (includes building code violations link),Manual,1/27/2026,Sent,14952,
Surprise,Maricopa,Arizona,143148,,public_records_page,https://surpriseaz.govqa.us/WEBAPP/_rs/(S(azcya2khen5tv2bwnmfycfr2))/supporthome.aspx,City public records page (GovQA system referenced),Manual,1/27/2026,Sent,R000836-012726,
Tempe,Maricopa,Arizona,195805,,portal,https://tempe.justfoia.com/publicportal,JustFOIA portal,Manual,1/27/2026,Sent,COMM-2026-87. Security Key is: 685B9425.,
Kingman,Mohave,Arizona,420375,,portal,https://www.cityofkingman.gov/government/public-records-request,City Portal,PDF Form,1/27/2026,Sent,PDF + Email,
Lake Havasu City,Mohave,Arizona,211899,,portal,https://www.lhcaz.gov/city-clerk/public-records/general-city-records,City Portal,Manual,1/27/2026,Fulfilled,CustomPortal,
Mohave County,Mohave,Arizona,2429753,,portal,https://mohavecountyaz.mycusthelp.com/WEBAPP/_rs/(S(yltrlbp121m4itxdnxgijbz1))/RequestOpenCI.aspx?sSessionID=&rqst=77,GovQA,Manual,1/27/2026,Fulfilled,W026869-012726,
Navajo County,Navajo,Arizona,213787,,portal,https://www.navajocountyaz.gov/207/Public-Records-Request,City Portal,Manual,1/27/2026,Fulfilled,CustomPortal,
Marana,Pima,Arizona,561003,,portal,https://www.maranaaz.gov/Departments/Town-Clerk/Public-Records,Verified town public records page,Manual,1/27/2026,Fulfilled,CustomPortal,
Oro Valley,Pima,Arizona,110924,,portal,https://destinyhosted.com/public_records.cfm?id=67682,City Portal,Manual,1/27/2026,Fulfilled,CustomPortal,
Pima County,Pima,Arizona,46159,,portal,https://pimacountyaz.mycusthelp.com/WEBAPP/_rs/(S(udvprjez3bp3joqfropjtgwn))/supporthome.aspx,Verified county public records page,Manual,1/27/2026,Sent,R007872-012726,
Sahuarita,Pima,Arizona,35344,,portal,https://sahuaritaaz.govqa.us/WEBAPP/_rs/(S(r52ljhdxmkvh25pu3tenegav))/SupportHome.aspx,Verified public records page,Manual,1/27/2026,Fulfilled,R003483-012726,
Maricopa,Pinal,Arizona,425184,,portal,https://maricopaaz.justfoia.com/publicportal/home/track,JustFOIA portal,Manual,1/27/2026,Sent,616B73AA. reference number is PRR-71-2026.,
Tucson,Pima,Arizona,542629,,portal,https://tucsonaz.hylandcloud.com/221appnet/UnityForm.aspx?key=UFKey,Verified city public records page,Manual,1/27/2026,Fulfilled,CustomPortal,
Casa Grande,Pinal County,Arizona,160813,,Portal,https://casagrandeaz.gov/170/Public-Records-Requests,City public records portal (Verified official public-records page),Manual,1/27/2026,Fulfilled,CustomPortal,
Pinal County,Pinal,Arizona,49363,,portal,https://pinalcounty-az.nextrequest.com/,Verified county public records page,Manual,1/27/2026,Fulfilled,Request 26-321,
Bentonville,Benton,Arkansas,55485,,email,jrenfrow@bentonvillear.com,Code Enforcement Officer,Manual,1/27/2026,Sent,Email,
Rogers,Benton,Arkansas,70317,,email,cityclerk@rogersar.gov,City Clerk Ã¢â‚¬â€œ public records,Manual,1/27/2026,Denied,Citizen Restriction,
Benton County,Benton,Arkansas,284333,,email,CountyClerk@bentoncountyar.gov,County Clerk Ã¢â‚¬â€œ public records,Manual,1/27/2026,Sent,Email,
Boone County,Boone,Arkansas,37438,,email,cgraddy@boonecountyar.com,County Clerk Ã¢â‚¬â€œ public records,Manual,1/27/2026,Sent,Email,
Cleburne County,Cleburne,Arkansas,25235,,email,Sherry.Logan@cleburnecoar.gov,County Clerk email,Manual,1/27/2026,Sent,Email,
Jonesboro,Craighead,Arkansas,78588,,email,aleggett@jonesboro.org,City Clerk Email,Manual,1/27/2026,Sent,Email,
Craighead County,Craighead,Arkansas,111231,,email,mdmarshall@craigheadcountyar.gov,County Clerk Email,Manual,1/27/2026,Sent,Email,
Crawford County,Crawford,Arkansas,61945,,email,county.clerk@crawfordcountyar.gov,County Clerk email,Manual,1/27/2026,Sent,Email,
Crittenden County,Crittenden,Arkansas,49846,,email,crittcoclerk@gmail.com,County Clerk email,Manual,1/27/2026,Sent,Email,
Conway,Faulkner,Arkansas,50566,,portal,https://conwayarkansas.justfoia.com/publicportal,JustFOIA portal,Manual,1/27/2026,Denied,Citizen Restriction,
Faulkner County,Faulkner,Arkansas,143802,,email,foi@faulknercountyar.gov,County Clerk email,Manual,1/27/2026,Sent,Email,
Garland County,Garland,Arkansas,284333,,portal,https://garlandcountyar.nextrequest.com/requests/new,NextRequest Portal,Manual,1/27/2026,Denied,Citizen Restriction,
Grant County,Grant,Arkansas,100180,,portal,https://grantcountyar.com/contact-us/,County Contact Us Page,Manual,1/27/2026,Sent,CustomPortal,
Greene County,Greene,Arkansas,45290,,email,circuitclerk@greene.ar.gov,County Clerk email,Manual,1/27/2026,Sent,Email,
Hot Spring County,Hot Spring,Arkansas,45560,,email,PGriggs@HotSpringCounty.org,County Clerk email,Manual,1/27/2026,Sent,Email,
Howard County,Howard,Arkansas,37584,,email,howardclerk@arkansasclerks.com,County Clerk email,Manual,1/27/2026,Sent,Email,
Jackson County,Jackson,Arkansas,41339,,email,jacksoncountyclerk@gmail.com,County Clerk email,Manual,1/27/2026,Sent,Email,
Pine Bluff,Jefferson,Arkansas,41854,,portal,https://www.cityofpinebluff-ar.gov/information-request-form,City information request form,Manual,1/27/2026,Sent,Submission ID: #378,
Jefferson County,Jefferson,Arkansas,25161,,email,staggart.jcclerk@yahoo.com,County Clerk email,Manual,1/27/2026,Denied,Citizen Restriction,
Cabot,Lonoke,Arkansas,27321,,email,selliott@cabotar.gov,Route via County Clerk,Manual,1/27/2026,Sent,Email,
Lonoke County,Lonoke,Arkansas,26736,,email,lonokeclerk@arkansasclerks.com,County Clerk email,Manual,1/27/2026,Sent,Email,
Miller County,Miller,Arkansas,43460,,email,mar@miller.countyservice.net,County Clerk email,Manual,1/27/2026,Sent,Email,
Texarkana,Miller,Arkansas,29475,,email,heather.soyars@txkusa.org,City Secretary email,Manual,1/27/2026,Sent,Email,
Mississippi County,Mississippi,Arkansas,40217,,portal,https://www.mississippicountyar.org/contact,County Portal,Manual,1/27/2026,Sent,CustomPortal,
Jacksonville,Pulaski,Arkansas,30660,,portal,https://cityofjacksonvillear.nextrequest.com/requests/new,NextRequest portal,Manual,1/27/2026,Sent,Email,
Little Rock,Pulaski,Arkansas,202591,,portal,https://littlerock.justfoia.com/publicportal,JustFOIA portal,Manual,1/27/2026,Sent,CLR-2026-126 and your security key is 61547480.,
North Little Rock,Pulaski,Arkansas,65459,Sent,portal,https://nlr-ar.justfoia.com/publicportal,JustFOIA portal,Manual,1/27/2026,Denied,Citizen Restriction,
Sherwood,Pulaski,Arkansas,33655,,portal,https://sherwoodar.justfoia.com/publicportal,JustFOIA portal,Manual,1/27/2026,Fulfilled,DC94E773. request reference number is CITY-2026-10.,
Pulaski County,Pulaski,Arkansas,399125,Fulfilled,portal,https://pulaskicountygovernment.nextrequest.com/requests/new,County NextRequest,Manual,1/27/2026,Denied,No Records,
Benton,Saline,Arkansas,35810,,email,cindy.stracener@bentonar.org,City Clerk,Manual,1/27/2026,Fulfilled,Email,
Bryant,Saline,Arkansas,39393,,portal,https://bryant-ar.nextrequest.com/requests/new,NextRequest portal,Manual,1/27/2026,Denied,Citizen Restriction,
Saline County,Saline,Arkansas,127608,,email,Doug.Curtis@salinecounty.org,Sheriff FOIA,Manual,1/27/2026,Sent,Email,
Sebastian County,Sebastian,Arkansas,127799,,portal,https://sebastiancountyar.nextrequest.com/,County NextRequest,Manual,1/27/2026,Sent,Request 26-28,
Fort Smith,Sebastian,Arkansas,89142,Fulfilled,portal,https://www.fortsmithar.gov/foia,City FOIA portal,Manual,1/27/2026,Denied,Citizen Restriction,
Fayetteville,Washington,Arkansas,91273,,portal,https://fayettevillear.justfoia.com/requests/new,JustFOIA portal,Manual,1/27/2026,Denied,Citizen Restriction,
Springdale,Washington,Arkansas,85644,,email,sjeffus@springdalear.gov,City Clerk,Manual,1/27/2026,Fulfilled,joliver@springdalear.gov - rfindley@springdalear.gov,
Washington County,Washington,Arkansas,245350,Sent,portal,https://www.washingtoncountyar.gov/how-do-i/submit/general-foi-request,County Portal,Manual,1/27/2026,Denied,Washington County does not enforce building codes,
White County,White,Arkansas,77215,Sent,email,wcclerk@whitecountyclerk.com,County Clerk,Manual,1/27/2026,Denied,No Records,
Alameda,Alameda,California,78983,,portal,https://cityofalamedaca.nextrequest.com/,NextRequest CPRA portal,Manual,1/27/2026,Fulfilled,Request 26-41,
Berkeley,Alameda,California,124321,,portal,https://cityofberkeleyca.nextrequest.com/,NextRequest CPRA portal,Manual,1/27/2026,Fulfilled,Request 26-249,
Dublin,Alameda,California,46659,Fulfilled,portal,https://cityofdublinca.nextrequest.com/,NextRequest CPRA portal,Manual,1/27/2026,Fulfilled,Request 26-20,
Fremont,Alameda,California,230504,,portal,https://cityoffremontca.nextrequest.com/,NextRequest CPRA portal,Manual,1/27/2026,Fulfilled,Request 26-166,
Hayward,Alameda,California,162323,,portal,https://city-haywardca.govqa.us/WEBAPP/_rs/(S(vjjlcpgyodwolhaqainxtjsb))/SupportHome.aspx?sSessionID=112208165111:17053SKHTQUJDXONNYEYRZEMWSR&=&lp=2,GovQA portal,Manual,1/27/2026,Denied,No Records,
Livermore,Alameda,California,91332,,portal,https://livermoreca.govqa.us/WEBAPP/_rs/(S(fuakau4jgiytvxdbi1zfh2gj))/supporthome.aspx,GovQA portal,Manual,1/27/2026,Fulfilled,R000022-012726,
Newark,Alameda,California,425676,Fulfilled,email,city.clerk@newark.org,City Clerk email,Manual,1/27/2026,Sent,Email,
Oakland,Alameda,California,79303,,portal,https://oaklandca.nextrequest.com/,NextRequest CPRA portal,Manual,1/27/2026,Fulfilled,Request 26-906,
Pleasanton,Alameda,California,433031,,portal,https://portal.laserfiche.com/p4550/forms/RecordRequest,Laserfiche request form,Manual,1/27/2026,Fulfilled,Laserfiche,
San Leandro,Alameda,California,78983,,portal,https://sanleandroca.govqa.us/WEBAPP/_rs/(S(fjg4la5ug5k1v3m04d4ujwag))/supporthome.aspx,GovQA portal,Manual,1/27/2026,Fulfilled,R004508-012726,
Union City,Alameda,California,230504,Fulfilled,portal,https://unioncity.nextrequest.com/,NextRequest CPRA portal,Manual,1/27/2026,Fulfilled,Request 26-36,
Alameda County,Alameda,California,101475,,portal,https://alamedacountyca.nextrequest.com/,County CPRA portal,Manual,1/27/2026,Sent,Request 26-54,
Chico,Butte,California,1153526,Sent,portal,https://cityofchicoca.nextrequest.com/requests/new,NextRequest CPRA portal,Manual,1/27/2026,Fulfilled,Request 26-183,
Butte County,Butte,California,115291,,portal,https://buttecounty.govqa.us/WEBAPP/_rs/(S(yrurripylt0fn4pchqcfd0u0))/SupportHome.aspx,County Portal,Manual,1/27/2026,Fulfilled,R004746-012726,
Calaveras County,Calaveras,California,96442,,portal,https://www.calaverasgov.us/Feedback/Clerk-Recorder,Contact Us Page,Manual,1/27/2026,Fulfilled,CustomPortal,
Antioch,Contra Costa,California,45241,,email,https://antioch.nextrequest.com/,City Clerk email,Manual,1/27/2026,Sent,Request 26-48,
Brentwood,Contra Costa,California,1153526,,email,https://cityofbrentwood-ca.nextrequest.com/,City Clerk email,Manual,1/27/2026,Fulfilled,Request 26-31,
Concord,Contra Costa,California,115291,Sent,portal_url,https://cityofconcordca.nextrequest.com/requests/new,Direct NextRequest submission link,Manual,1/27/2026,Fulfilled,Request 26-127,
Danville,Contra Costa,California,129295,,portal_url,https://www.danville.ca.gov/FormCenter/City-Clerk-17/Public-Records-Request-89,City Clerk form,Manual,1/27/2026,Fulfilled,FormCenter,
El Cerrito,Contra Costa,California,43577,Sent,portal_url,https://www.elcerrito.gov/FormCenter/City-Clerk-18/Public-Record-Request-Form-256,Public record request form,Manual,1/27/2026,Fulfilled,FormCenter,
Hercules,Contra Costa,California,26218,Denied,PDF Form,https://www.herculesca.gov/i-want-to/request/records,City Clerk submission,PDF Form,1/27/2026,Sent,PDF + Email,
Lafayette,Contra Costa,California,25149,,email,cityhall@lovelafayette.org,City Clerk email,Manual,1/27/2026,Sent,Email,
Martinez,Contra Costa,California,37482,Sent,portal_url,https://cityofmartinezca.nextrequest.com/requests/new,NextRequest portal,Manual,1/27/2026,Fulfilled,Request 26-34,
Oakley,Contra Costa,California,42502,,portal_url,https://cityofoakleyca.nextrequest.com/requests/new,NextRequest portal,Manual,1/27/2026,Fulfilled,Request 26-26,
Pittsburg,Contra Costa,California,76416,Sent,portal_url,https://pittsburgcapd.nextrequest.com/requests/new,City Clerk email,Manual,1/27/2026,Fulfilled,Request 26-41,
Pleasant Hill,Contra Costa,California,34613,,portal,https://www.phillca.gov/forms.aspx?fid=142,City Portal,Manual,1/27/2026,Fulfilled,CustomPortal,
