County,City,State,Population,Status,Submission Method,Contact Value,Notes,Method,Date,Status,Notes,
Jemison,Chilton,Alabama,2673,,email,https://www.clantonal.gov/Directory.aspx?EID=34,Building inspector,Manual,1/27/2026,Sent,jdennis@jemisonalabama.org,
Maplesville,Chilton,Alabama,637,,portal,jdennis@jemisonalabama.org,Town government,Manual,1/27/2026,Sent,Submitted(CustomPortal),
Thorsby,Chilton,Alabama,2064,,email,https://www.townofmaplesville.com/townGovernment.html/1000,City Clerk,Manual,1/27/2026,Sent,crystal11@thorsbyal.com,
Chilton County,Chilton,Alabama,46357,,portal,crystal11@thorsbyal.com,Public Records,Manual,1/27/2026,Sent,Submitted(CustomPortal),
Butler,Choctaw,Alabama,1942,,portal,https://chiltoncounty.org/public-records/,Town site,Manual,1/27/2026,Sent,Submitted(CustomPortal),
Gilbertown,Choctaw,Alabama,1987,,email,https://www.butleralabama.org/,County fallback,Manual,1/27/2026,Sent,jasonsturdivant13@gmail.com (Custom Email for the five counties),
Lisman,Choctaw,Alabama,442,,email,jasonsturdivant13@gmail.com,County fallback,Manual,1/27/2026,,,
Needham,Choctaw,Alabama,122,,email,jasonsturdivant13@gmail.com,County fallback,Manual,1/27/2026,,,
Pennington,Choctaw,Alabama,148,,email,jasonsturdivant13@gmail.com,County fallback,Manual,1/27/2026,,,
Choctaw County,Choctaw,Alabama,12525,,email,jasonsturdivant13@gmail.com,Probate Judge,Manual,1/27/2026,,,
Silas,Choctaw,Alabama,377,,email,jasonsturdivant13@gmail.com,Town general contact email listed on Town of Silas contact page.,Manual,1/27/2026,Sent,townsilas@gmail.com,
Toxey,Choctaw,Alabama,145,,county_email,townsilas@gmail.com,Using Choctaw County Probate Office email; no verified town clerk email found.,Manual,1/27/2026,Sent,choctawprobate15@yahoo.com,
Coffeeville,Clarke,Alabama,263,,email,choctawprobate15@yahoo.com,Town Clerk email listed on Town of Coffeeville official site.,Manual,1/27/2026,Sent,alatham@townofcoffeeville.org,
Fulton,Clarke,Alabama,241,,county_portal,alatham@townofcoffeeville.org,No verified town clerk email; using Clarke County Probate records portal.,Manual,1/27/2026,Sent,croberts@clarkecountyal.com,
Grove Hill,Clarke,Alabama,1804,,county_portal,https://clarkecountyal.com/probate/,No verified city clerk email; using Clarke County Probate records portal.,Manual,1/27/2026,Sent,croberts@clarkecountyal.com,
Jackson,Clarke,Alabama,4830,,county_portal,https://clarkecountyal.com/probate/,No verified city clerk email; using Clarke County Probate records portal.,Manual,1/27/2026,Sent,croberts@clarkecountyal.com,
Thomasville,Clarke,Alabama,4086,,email,https://clarkecountyal.com/probate/,Court Clerk email listed on City of Thomasville staff directory.,Manual,1/27/2026,Sent,bstallworth@thomasvilleal.com,
Ashland,Clay,Alabama,1932,,email,bstallworth@thomasvilleal.com,City Clerk email listed on City of Ashland website.,Manual,1/27/2026,Sent,alicia.case@cityofashland.com,
Lineville,Clay,Alabama,2460,,county_portal,alicia.case@cityofashland.com,No verified city clerk email; using Clay County official portal.,Manual,1/27/2026,Sent,Submitted(CustomPortal),
Edwardsville,Cleburne,Alabama,193,,county_email,https://www.claycountyalabama.com/,Using Cleburne County Probate Office email.,Manual,1/27/2026,Sent,Submitted(FormCenter),
Fruithurst,Cleburne,Alabama,284,,county_email,probateoffice@cleburnecounty.us,Using Cleburne County Probate Office email.,Manual,1/27/2026,Sent,tmaloney@cleburnecounty.us,
Heflin,Cleburne,Alabama,3666,,county_email,probateoffice@cleburnecounty.us,Using Cleburne County Probate Office email.,Manual,1/27/2026,Sent,cityhall@cityofheflin.org,
Ranburne,Cleburne,Alabama,409,,portal,probateoffice@cleburnecounty.us,Official town website; fallback to probateoffice@cleburnecounty.us if needed.,Manual,1/27/2026,Sent,clerk@ranburnealabama.com,
Elba,Coffee,Alabama,3940,,email,https://ranburnealabama.com/,City court email used for property/building records.,Manual,1/27/2026,Sent,elbacitycourt@elbaal.gov,
Kinston,Coffee,Alabama,540,,portal,elbacitycourt@elbaal.gov,Official town contact page.,Manual,1/27/2026,Sent,susan.hudson@coffeecounty.us,
New Brockton,Coffee,Alabama,1204,,portal,https://townofkinston.com/contact.html,Official staff directory includes Town Clerk contact.,Manual,1/27/2026,Already Sent,,
Coffee County,Coffee,Alabama,52342,,email,https://www.newbrocktonal.gov/town-hall/directory,County Administrator email listed on county directory.,Manual,1/27/2026,Already Sent,,
Enterprise,Coffee;Dale,Alabama,28711,,email,susan.hudson@coffeecounty.us,City Clerk email listed on City of Enterprise directory.,Manual,1/27/2026,Sent,bsweeney@enterpriseal.gov,
Cherokee,Colbert,Alabama,1048,,portal,bsweeney@enterpriseal.gov,Official government portal with town contact information.,Manual,1/27/2026,Sent,townhall@cherokeetel.net,
Leighton,Colbert,Alabama,729,,county_email,https://cherokeeal.govtportal.com/,Using Colbert County Probate Court email.,Manual,1/27/2026,Sent,jharbin@colbertco.org,
Muscle Shoals,Colbert,Alabama,13682,,email,jharbin@colbertco.org,Building & Planning Officer email.,Manual,1/27/2026,Sent,jjones@muscleshoalsal.org,
Sheffield,Colbert,Alabama,9243,,portal,jharbin@colbertco.org,Official city contact form (no direct email published).,Manual,1/27/2026,Sent,Buildingdepartment@sheffieldalabama.net,
Tuscumbia,Colbert,Alabama,8812,,email,jjones@muscleshoalsal.org,Permit/building department contact email.,Manual,1/27/2026,Sent,dbuszka@cityoftuscumbia.org,
Colbert County,Colbert,Alabama,57227,,email,https://www.sheffieldalabama.org/contact/,Colbert County Probate Court official email.,Manual,1/27/2026,Sent,jharbin@colbertco.org,
Castleberry,Conecuh,Alabama,446,,county_email,dbuszka@cityoftuscumbia.org,Using Conecuh County Probate Office email.,Manual,1/27/2026,Sent,probate@conecuhcounty.us,
Evergreen,Conecuh,Alabama,3748,,email,jharbin@colbertco.org,Official city general contact email.,Manual,1/27/2026,Sent,info@evergreenal.gov,
Repton,Conecuh,Alabama,260,,county_email,probate@conecuhcounty.us,Using Conecuh County Probate Office email.,Manual,1/27/2026,Sent,probate@conecuhcounty.us,
Goodwater,Coosa,Alabama,1341,,email,info@evergreenal.gov,City Clerk email listed on Goodwater administration page.,Manual,1/27/2026,Sent,tina@cityofgoodwater.com,
Coosa County,Coosa,Alabama,10594,,email,probate@conecuhcounty.us,Coosa County Probate Office official email.,Manual,1/27/2026,Sent,coosacountyprobate@outlook.com,
Andalusia,Covington,Alabama,9015,,PDF Form,tina@cityofgoodwater.com,Send completed form to john.thompson@cityofandalusia.com,Manual,1/27/2026,Sent,john.thompson@cityofandalusia.com,
Opp,Covington,Alabama,6957,,Email,https://www.coosacountyal.com/sites/default/files/open_records_form_and_resolution.pdf,City Clerk email (public records requests),Manual,1/27/2026,Sent,jdougherty@cityofopp.com,
Florala,Covington,Alabama,1980,,Email,coosacountyprobate@outlook.com,City Clerk email (public records requests),Manual,1/27/2026,Sent,floralacityclerk@troycable.net,
River Falls,Covington,Alabama,479,,Email,https://andalusiaal.gov/docs/docs/2025_open_records_request_form.pdf?utm_source=chatgpt.com,City Clerk email (public records requests),Manual,1/27/2026,Sent,cityclerk@riverfallsalabama.com,
Brantley,Crenshaw,Alabama,825,,Email,jdougherty@cityofopp.com,Town Clerk email (public records requests),Manual,1/27/2026,Sent,townclerk@townofbrantley.org,
Luverne,Crenshaw,Alabama,2765,,Email,floralacityclerk@troycable.net,City contact email,Manual,1/27/2026,Sent,cityofluverne@centruytel.net,
Rutledge,Crenshaw,Alabama,348,,Portal,cityclerk@riverfallsalabama.com,GovtPortal site,Manual,1/27/2026,Sent,rbrown3@centurytel.net,
Baileyton,Cullman,Alabama,649,,Email,townclerk@townofbrantley.org,Municipal contact,Manual,1/27/2026,Sent,baileyton@baileytonal.org,
Dodge City,Cullman,Alabama,548,,Email,cityofluverne@centruytel.net,Municipal contact,Manual,1/27/2026,Sent,dodgecitytown@bellsouth.net,
Garden City,Cullman,Alabama,528,,Email,https://rutledgeal.govtportal.com/,Municipal contact,Manual,1/27/2026,Sent,gardencity@bellsouth.net,
Good Hope,Cullman,Alabama,2483,,Email,baileyton@baileytonal.org,Municipal contact,Manual,1/27/2026,Sent,goodhope@goodhopeal.com,
Hanceville,Cullman,Alabama,3217,,Email,dodgecitytown@bellsouth.net,Municipal contact,Manual,1/27/2026,Sent,hanceville@bellsouth.net,
Holly Pond,Cullman,Alabama,851,,Email,gardencity@bellsouth.net,Municipal contact,Manual,1/27/2026,Sent,hollypond@bellsouth.net,
South Vinemont,Cullman,Alabama,558,,Email,goodhope@goodhopeal.com,Municipal contact,Manual,1/27/2026,Sent,svinemont@bellsouth.net,
Cullman,Cullman,Alabama,18213,,Email,hanceville@bellsouth.net,City Clerk,Manual,1/27/2026,Sent,cityclerk@cullmanal.gov,
Daleville,Dale,Alabama,4866,,Email,hollypond@bellsouth.net,City Clerk,Manual,1/27/2026,Sent,clerk@dalevilleal.com,
Level Plains,Dale,Alabama,1825,,Portal,svinemont@bellsouth.net,Portal contact,Manual,1/27/2026,Sent,levelplainscourt@gmail.com,
Crenshaw County,Crenshaw,Alabama,13194,,Email,cityclerk@cullmanal.gov,County Administrator email listed on county directory.,Manual,1/27/2026,Sent,dawn.rayborn@crenshawcounty.gov,
Cullman County,Cullman,Alabama,87866,,PDF Form,clerk@dalevilleal.com,Submit the form to - public.records@cullmanal.gov,Manual,1/27/2026,Sent,Submitted(CustomPortal),
Dale County,Dale,Alabama,49326,,Portal,https://levelplainsal.govtportal.com/,Diredct Submission,Manual,1/27/2026,Sent,admin@dalecountyal.gov,
Covington County,Covington,Alabama,37570,,Email,dawn.rayborn@crenshawcounty.gov,Circuit Clerk,Manual,1/27/2026,Sent,amy.jones@alacourt.gov,
Midland City,Dale County,Alabama,2239,,email,https://www.co.cullman.al.us/assets/PDFs/Public-Records-Request-Form.pdf?utm_source=chatgpt.com,City Clerk email for public records requests,Manual,1/27/2026,Sent,clerk@midlandcity.org,
Ozark,Dale County,Alabama,14668,,email,https://dalecountyal.com/CountyCommission/OpenRecordsRequest.aspx?utm_source=chatgpt.com,City CFO/Clerk contact,Manual,1/27/2026,Sent,cfo@ozarkal.gov,
Pinckard,Dale County,Alabama,647,,email,amy.jones@alacourt.gov,Town Clerk email,Manual,1/27/2026,Sent,townclerk@pinckardal.net,
Orrville,Dallas County,Alabama,204,,email,https://www.coosacountyal.com/sites/default/files/open_records_form_and_resolution.pdf,Town contact email,Manual,1/27/2026,Sent,townoforrville@aol.com,
Selma,Dallas County,Alabama,17971,,email,clerk@midlandcity.org,City Hall/Clerk email,Manual,1/27/2026,Sent,info@selma-al.gov,
Valley Grande,Dallas County,Alabama,4080,,email,https://dalecountyal.com/public-records/,City Clerk email,Manual,1/27/2026,Sent,kimharris@cityofvalleygrande.com,
Dallas County,Dallas County,Alabama,38462,,email,https://dalecountyal.com/public-records/,County administration email,Manual,1/27/2026,Sent,county.admin@dallascounty-al.org,
Collinsville,DeKalb County,Alabama,2059,Sent,email,cfo@ozarkal.gov,City Clerk email,Manual,1/27/2026,Sent,cityclerk@collinsvillealabama.net,
Crossville,DeKalb County,Alabama,1830,,email,townclerk@pinckardal.net,Town Clerk email,Manual,1/27/2026,Sent,cvilletownclerk@crossvillealabama.com,
Fort Payne,DeKalb County,Alabama,14877,,email,https://dalecountyal.com/public-records/,City Hall email,Manual,1/27/2026,Sent,cityhall@fortpayne.org,
Fyffe,DeKalb County,Alabama,1015,,email,townoforrville@aol.com,Submit via DeKalb County,Manual,1/27/2026,Sent,bwilliams@dekalbcountyal.us,
Geraldine,DeKalb County,Alabama,896,,email,info@selma-al.gov,Town Clerk email,Manual,1/27/2026,Sent,clerk@townofgeraldineal.com,
Hammondville,DeKalb County,Alabama,425,,email,kimharris@cityofvalleygrande.com,Submit via DeKalb County,Manual,1/27/2026,Sent,bwilliams@dekalbcountyal.us,
Ider,DeKalb County,Alabama,664,,email,county.admin@dallascounty-al.org,Submit via DeKalb County,Manual,1/27/2026,Sent,Submitted(FormCenter),
Rainsville,DeKalb County,Alabama,5505,,email,cityclerk@collinsvillealabama.net,Municipal Court email,Manual,1/27/2026,Sent,rainsvillecourt@farmerstel.com,
Shiloh,DeKalb County,Alabama,274,,email,cvilletownclerk@crossvillealabama.com,Town Mayor email,Manual,1/27/2026,Sent,mayor@townofshiloh.com,
Coosada,Elmore County,Alabama,1217,,email,cityhall@fortpayne.org,Submit via Elmore County,Manual,1/27/2026,Sent,wrbechd@elmoreco.org (Custom Email for the six counties),
Deatsville,Elmore County,Alabama,1679,,email,bwilliams@dekalbcountyal.us,Submit via Elmore County,Manual,1/27/2026,,,
Eclectic,Elmore County,Alabama,1193,Sent,email,clerk@townofgeraldineal.com,Submit via Elmore County,Manual,1/27/2026,,,
Elmore,Elmore County,Alabama,1262,,email,bwilliams@dekalbcountyal.us,Submit via Elmore County,Manual,1/27/2026,,,
Millbrook,Elmore County,Alabama,16564,,email,bwilliams@dekalbcountyal.us,Submit via Elmore County,Manual,1/27/2026,,,
Wetumpka,Elmore County,Alabama,7220,,email,bwilliams@dekalbcountyal.us,Submit via Elmore County,Manual,1/27/2026,,,
Tallassee,Elmore;Tallapoosa,Alabama,"5,170",Sent,portal,rainsvillecourt@farmerstel.com,City Clerk via official site.,Manual,,Already Sent,,
Brewton,Escambia,Alabama,"5,276",,portal,mayor@townofshiloh.com,City Clerk via official site.,Manual,1/27/2026,Sent,Submitted(CustomPortal),
East Brewton,Escambia,Alabama,"2,293",,portal,bwilliams@dekalbcountyal.us,City Clerk via official site.,Manual,1/27/2026,Sent,kristyedwards.2012@gmail.com,
Gadsden,Etowah,Alabama,"33,945",,email,wrbechd@elmoreco.org,City Clerk email.,Manual,1/28/2026,Sent,inelson@cityofgadsden.com,
Hokes Bluff,Etowah,Alabama,"4,356",,portal,wrbechd@elmoreco.org,City Hall contact.,Manual,1/28/2026,Sent,hbcity@cityofhokesbluff.com,
Rainbow City,Etowah,Alabama,"10,191",,email,wrbechd@elmoreco.org,City Hall contact.,Manual,1/28/2026,Sent,mayor@rbcalabama.com,
Reece City,Etowah,Alabama,618,,email,wrbechd@elmoreco.org,County fallback.,Manual,1/28/2026,Sent,sellison@etowahcounty.org,
Ridgeville,Etowah,Alabama,106,,email,wrbechd@elmoreco.org,County fallback.,Manual,1/28/2026,Sent,Submitted(CustomPortal),
Sardis City,Etowah,Alabama,"1,982",,email,wrbechd@elmoreco.org,City Clerk email.,Manual,1/28/2026,Sent,agarner@sardiscityal.gov,
Southside,Etowah,Alabama,"9,426",,email,https://www.elmoreco.org/egov/documents/1431551606_79299.pdf,City Clerk email.,Manual,1/28/2026,Sent,cityclerk@cityofsouthside.com,
Walnut Grove,Etowah,Alabama,773,Sent,email,https://www.tallasseeal.gov/,County fallback.,Manual,1/28/2026,Already Sent,,
Belk,Fayette,Alabama,205,,email,https://www.cityofatmore.com/,County fallback.,Manual,1/28/2026,Sent,Submitted(CustomPortal),
Berry,Fayette,Alabama,"1,087",,email,http://www.cityofbrewton.org/,County fallback.,Manual,1/28/2026,Sent,Submitted(CustomPortal),
Fayette,Fayette,Alabama,"4,308",,email,https://eastbrewton.org/,City Clerk email.,Manual,1/28/2026,Sent,sfowler@fayetteal.org,
Fayette County,Fayette,Alabama,"16,321",,email,(251) 867-0300,Road Department Contact,Manual,1/28/2026,Sent,kedmonson@fayetteco.net,
Hodges,Franklin,Alabama,265,,email,https://escambiacountyal.gov/,County form.,Manual,1/28/2026,Sent,Submitted(CustomPortal) - I indicated all the said counties in the form.,
Phil Campbell,Franklin,Alabama,935,,email,inelson@cityofgadsden.com,County form.,Manual,1/28/2026,Sent,,
Red Bay,Franklin,Alabama,"3,246",,email,https://www.hokesbluffalabama.com/,County form.,Manual,1/28/2026,Sent,,
Russellville,Franklin,Alabama,"10,855",,email,mayor@rbcalabama.com,City Clerk email.,Manual,1/28/2026,Sent,,
Vina,Franklin,Alabama,418,,pdf_form,sellison@etowahcounty.org,County form.,Manual,1/28/2026,Sent,,
Franklin County,Franklin,Alabama,"32,113",,pdf_form,sellison@etowahcounty.org,County form.,Manual,1/28/2026,Sent,,
Black,Geneva,Alabama,207,,email,agarner@sardiscityal.gov,County fallback.,Manual,1/28/2026,Sent,genevacityclerk@panhandle.rr.com,
Clayhatchee,Geneva,Alabama,559,,email,cityclerk@cityofsouthside.com,County fallback.,Manual,1/28/2026,,,
Coffee Springs,Geneva,Alabama,228,,email,sellison@etowahcounty.org,County fallback.,Manual,1/28/2026,,,
Hartford,Geneva,Alabama,2651,,portal,sellison@etowahcounty.org,City of Hartford staff directory includes City Clerk/Treasurer contact,Manual,1/28/2026,Sent,Submitted(CustomPortal),
Malvern,Geneva,Alabama,193,,email,Fayette@vote.alabama.gov,County fallback (Geneva County Circuit Clerk),Manual,1/28/2026,Sent,Submitted(CustomPortal),
Riverview,Geneva,Alabama,108,,email,Fayette@vote.alabama.gov,County fallback,Manual,1/28/2026,Sent,info@genevacountyal.gov,
Samson,Geneva,Alabama,1874,,email,sfowler@fayetteal.org,Direct city email,Manual,1/28/2026,Sent,cityofsamson@centurytel.net,
Geneva,Geneva County,Alabama,4400,,portal,Fayette@vote.alabama.gov,City contact form,Manual,1/28/2026,Sent,Submitted(CustomPortal),
Slocomb,Geneva;Houston,Alabama,2100,,email,https://franklincountyal.org/wp-content/uploads/2025/10/7.-Open-Records-Request-Form.pdf,City Clerk email,Manual,1/28/2026,Sent,cityclerk@slocombal.org,
Boligee,Greene,Alabama,301,,email,https://franklincountyal.org/wp-content/uploads/2025/10/7.-Open-Records-Request-Form.pdf,County fallback,Manual,1/28/2026,Sent,rwedgeworth@greenealabama.org,
Eutaw,Greene,Alabama,2937,,email,https://franklincountyal.org/wp-content/uploads/2025/10/7.-Open-Records-Request-Form.pdf,County fallback,Manual,1/28/2026,Sent,,
Forkland,Greene,Alabama,445,,email,belinda.jmiller@yahoo.com,Town mayor email,Manual,1/28/2026,Sent,mcalpine6@gmail.com,
Akron,Hale,Alabama,225,,email,https://franklincountyal.org/wp-content/uploads/2025/10/7.-Open-Records-Request-Form.pdf,County fallback,Manual,1/28/2026,Sent,contact@cityofabbeville.org,
Newbern,Hale,Alabama,200,,email,https://franklincountyal.org/wp-content/uploads/2025/10/7.-Open-Records-Request-Form.pdf,County fallback,Manual,1/28/2026,Sent,cityclerk@headlandalabama.org,
Greensboro,Hale County,Alabama,2250,,email,info@genevacountyal.gov,County fallback,Manual,1/28/2026,Sent,Henry@vote.alabama.gov,
Hale County,Hale,Alabama,15000,,email,info@genevacountyal.gov,County Circuit Clerk,Manual,1/28/2026,,Henry@vote.alabama.gov,
Abbeville,Henry,Alabama,2600,,email,info@genevacountyal.gov,County fallback,Manual,1/28/2026,Sent,cityclerk@cityofashford.com,
Headland,Henry,Alabama,4700,,email,https://genevaal.govtportal.com/,County fallback,Manual,1/28/2026,Sent,michele.andrews@alacourt.gov,
Newville,Henry,Alabama,550,,email,info@genevacountyal.gov,County fallback,Manual,1/28/2026,Sent,cwoodmayor@graceba.net,
Henry County,Henry,Alabama,17000,,email,https://www.cityofhartfordal.org/directory,County Circuit Clerk,Manual,1/28/2026,Sent,townofgordon@graceba.net,
Ashford,Houston,Alabama,2200,,email,ashley.powell@alacourt.gov,Direct city clerk,Manual,1/28/2026,Sent,Submitted(CustomPortal),
Avon,Houston,Alabama,520,,email,info@genevacountyal.gov,County fallback,Manual,1/28/2026,Sent,Submitted(CustomPortal),
Cottonwood,Houston,Alabama,1300,,email,cityofsamson@centurytel.net,County fallback,Manual,1/28/2026,Sent,Submitted(FormCenter),
Gordon,Houston,Alabama,850,,email,https://www.genevaal.gov/contactus,County fallback,Manual,1/28/2026,Sent,Submitted(CustomPortal),
Grimes,Houston,Alabama,550,,email,cityclerk@slocombal.org,County fallback,Manual,1/28/2026,Sent,cityclerk@dothan.org,
